193 施公案 8311 第一九三回 　　黃天霸鏢打方世杰　李公然盜藥救自身
194 施公案 8312 第一九四回 　　遇妙藥計全活命　換服色李昆訪案
195 施公案 8313 第一九五回 　　神彈子旅店逢三杰　白狻猊萍水識英雄
196 施公案 8314 第一九六回 　　俠士窗前聽密語　姦夫屋內露真情
197 施公案 8315 第一九七回 　　王成衣捉奸被殺　富木匠行惡遭擒
198 施公案 8316 第一九八回 　　曹義僕當堂釋罪　富木匠就地行刑
199 施公案 8317 第一九九回 　　關小西私探玄壇廟　黃天霸護囚靜海城
200 施公案 8318 第二○○回 　　設埋伏閻王定計　劫法場眾賊喬裝
201 施公案 8319 第二○一回 　　狠吳成欣逢好友　七煞神大鬧教場
202 施公案 8320 第二○二回 　　教軍場要犯被劫　靜海城百姓遭殃
203 施公案 8321 第二○三回 　　李公然彈打玉面虎　白馬李力戰活閻王
204 施公案 8322 第二○四回 　　關小西私出救二李　活閻王力托千斤閘
205 施公案 8323 第二○五回 　　兩英雄雙中金鏢　活閻王松林遭困
206 施公案 8324 第二○六回 　　黃副將追賊遇險　陳知縣失囚請罪
207 施公案 8325 第二○七回 　　陳知縣連夜徵兵　施總漕安排拿賊
208 施公案 8326 第二○八回 　　狠吳成滄州討救　神彈子花園降妖
209 施公案 8327 第二○九回 　　戰妖魔喜得青虹劍　拿凶僧兵圍玄壇廟
210 施公案 8328 第二一○回 　　李天壽大戰黃天霸　賽猿猴力敗何路通
211 施公案 8329 第二一一回 　　小元霸錘打賽猿猴　三義士並力助官兵
212 施公案 8330 第二一二回 　　玄壇廟吳成漏網　唐官屯於七遭擒
213 施公案 8331 第二一三回 　　黃天霸兵回奉新驛　活閻王夜走臥牛山
214 施公案 8332 第二一四回 　　惡霸行劫丟失大人　傑士設謀暗解要犯
215 施公案 8333 第二一五回 　　眾豪傑商議訪總漕　十義士月夜下滄州
216 施公案 8334 第二一六回 　　施仕倫窩中受困　白馬李私探遭擒
217 施公案 8335 第二一七回 　　吊打欽差吳成泄恨　審問奸細薛鳳誆言
218 施公案 8336 第二一八回 　　好漢認死不露真情　惡霸機靈暗設消息
219 施公案 8337 第二一九回 　　黃天霸初探薛家窩　甘教師鏢打笑面虎
220 施公案 8338 第二二○回 　　天霸誤撇賽姜維　鄧龍大戰飛駝子
221 施公案 8339 第二二一回 　　方世杰驚走黃天霸　賽姜維誤入望山堂
222 施公案 8340 第二二二回 　　尋朋友有心臨險地　傳捕役無意得功勞
223 施公案 8341 第二二三回 　　白狻猊定計沙家集　黃天霸二進薛家窩
224 施公案 8342 第二二四回 　　黃天霸誤投問路石　薛莊丁回窩送急信
225 施公案 8343 第二二五回 　　方世杰回取熏香盒　謝素貞力戰白狻猊
226 施公案 8344 第二二六回 　　甘教師大戰五虎　黃副將獨救主人
227 施公案 8345 第二二七回 　　神彈子有心打薛鳳　黃天霸無意中吳成
228 施公案 8346 第二二八回 　　郭起鳳貪功被獲　眾好漢江邊受困
229 施公案 8347 第二二九回 　　草上飛單身救友　王頭目途中泄機
230 施公案 8348 第二三○回 　　施欽差將計就計　崔中軍調取三軍
231 施公案 8349 第二三一回 　　小元霸混入薛家窩　沒毛虎泄機留賓館
232 施公案 8350 第二三二回 　　賽姜維逃出望山堂　黃天霸三進薛家窩
233 施公案 8351 第二三三回 　　鄧虎錘打方世杰　甘亮活捉謝素貞
234 施公案 8352 第二三四回 　　施欽差剿滅臥牛山　黃副將活捉東方雄
235 施公案 8353 第二三五回 　　黃花鎮又遇風波　朱家店夜逢刺客
236 施公案 8354 第二三六回 　　李天壽報怨喪生　朱繼祖為兄逃命
237 施公案 8355 第二三七回 　　黃天霸放走朱繼祖　施賢臣限捉張桂蘭
238 施公案 8356 第二三八回 　　彭百曉畏死泄底　飛來燕偷盜金牌
239 施公案 8357 第二三九回 　　失金牌施賢臣喪膽　訪盜跡計千總捕風
240 施公案 8358 第二四○回 　　招商店李四泄機　龍王廟計全得信
241 施公案 8359 第二四一回 　　神眼計樂陵城送信　鐵頭僧龍王廟遭擒
242 施公案 8360 第二四二回 　　九龍龕神眼盜金牌　一枝蘭獨力退天霸
243 施公案 8361 第二四三回 　　樂陵縣施賢臣斷案　謝家莊一枝蘭棲身
244 施公案 8362 第二四四回 　　因投宿李昆降妖　思報仇謝豹行刺
245 施公案 8363 第二四五回 　　防裡防路通遭袖箭　急中急天霸發金鏢
246 施公案 8364 第二四六回 　　白楊崗踏勘雙飛鳥　茂州廟捉拿一枝蘭
247 施公案 8365 第二四七回 　　一枝蘭茂州廟遭擒　黃天霸謝家莊施勇
248 施公案 8366 第二四八回 　　施賢臣賣卜訪冤屈　老漁翁覓醉吐真情
249 施公案 8367 第二四九回 　　洪家翁具狀代申冤　陳氏女認供甘抵罪
250 施公案 8368 第二五○回 　　中途遇盜又失金牌　狹路害人猝逢鐵匠
251 施公案 8369 第二五一回 　　褚家莊副將訪英雄　銅山縣凶徒受國法
252 施公案 8370 第二五二回 　　群雄聚議褚家莊　光祖獨上鳳凰嶺
253 施公案 8371 第二五三回 　　鳳凰嶺光祖下說詞　褚家莊天霸負豪氣
254 施公案 8372 第二五四回 　　天霸夜走鳳凰嶺　計全急回徐州城
255 施公案 8373 第二五五回 　　英雄尚義巧遇良朋　女兒多情面求佳婿
256 施公案 8374 第二五六回 　　鴛鴦樓天霸大戰　鳳凰嶺計全下書
257 施公案 8375 第二五七回 　　施賢臣假神斷山　黃天霸繳牌復命
258 施公案 8376 第二五八回 　　鳳凰嶺黃天霸聯姻　菊花莊郝其鸞行劫
259 施公案 8377 第二五九回 　　關小西大戰郝素玉　何路通私探菊花莊
260 施公案 8378 第二六○回 　　落陷坑放走何路通　比拳勇誘敵郝素玉
261 施公案 8379 第二六一回 　　素玉深感關小西　其鸞巧敗金大力
262 施公案 8380 第二六二回 　　黃天霸辭別鳳凰嶺　金大力怒打菊花莊
263 施公案 8381 第二六三回 　　郝其鸞中棍遭擒　李七侯奮勇殺敵
264 施公案 8382 第二六四回 　　李公然仗義釋其鸞　張桂蘭有心結素玉
265 施公案 8383 第二六五回 　　語話衷腸佳人重義　情聯手足俠女同心
266 施公案 8384 第二六六回 　　施公為關小西議婚　李昆代郝素玉作伐
267 施公案 8385 第二六七回 　　代子申冤老婦告狀　為民辨屈賢臣准詞
268 施公案 8386 第二六八回 　　酌理准情差提淫婦　蹈瑕乘隙追指姦夫
269 施公案 8387 第二六九回 　　集英軒因夢悟詩　枯樹嶺開棺檢驗
270 施公案 8388 第二七○回 　　淫女狠心冤魂不散　姦夫毒手弱女何辜
271 施公案 8389 第二七一回 　　案中案因案破案　奸裡奸以奸從奸
272 施公案 8390 第二七二回 　　吉日良辰小西入贅　佳餚美酒計全鬧房
273 施公案 8391 第二七三回 　　郝素玉嫁夫從夫　郎如豹知法犯法
274 施公案 8392 第二七四回 　　郎如豹聞風行刺　張桂蘭捉賊立功
275 施公案 8393 第二七五回 　　施賢臣嚴訊賽門神　黃天霸巧捉郎如豹
276 施公案 8394 第二七六回 　　真土豪伏法受誅　假知縣虐民酷吏
277 施公案 8395 第二七七回 　　施賢臣閒話論贓官　黃天霸賣拳逢惡僕
278 施公案 8396 第二七八回 　　假知縣縱僕行兇　真欽差定計除害
279 施公案 8397 第二七九回 　　朱光祖暗地說原因　施賢臣巧使美人計
